2499,2199,2199,2090,2090,2400,2919.42,4047,4678,5980,4300,3495,3215.97,3260,3260,3500,4500,6100,6100,4480,4500,3720,2720,2499
2499,2199,2400,2078,2078,2499,2715,3800,4800,6848.7,6764.44,4300,3953.31,3500,3495,3787,3720,5800,5590.33,4500,3800,3500,2500,2499
1499,2078,2078,1470,1560,2000,2600,3760,5014.46,6000,6000,4500,4177,3800,4000,4200,4300,5500,5200,5200,4395,3800,3200,2499
2499,2600,2499,2499,2499,2311,2499,2695,3760,5100,5000,4406,4200,3943.23,4000,4120,4500,6300,5900,5522.19,5900,4500,4100,2840
2499,2499,2499,2499,2400,1499,2078,1499,2600,3300,3300,2695,2582,2350,2600,3000,3658,4800,4950,4800,4433,4000,3200,2709
2499,2090,2400,2088,2400,2499,2712,4184,4800,5891.56,4800,3492,2581.9,2695,3248,3690,4864.79,6100,6100,5800,4837,4428,3200,2712
2599,2599,2599,2599,2599,2650,2890,4200,4800,4300,3679,3367,2695,2695,3248,3800,4800,7100,7100,6361,5800,5400,3800,2840
2599,2249,2311,2249,2311,2599,2795,3500,3760,3950,3650,2600,2450,2450,3200,3450,4000,5907.37,5887,4800,4180,3995,3300,2712
2599,2249,2599,2599,2599,2650,2795,3300,3395,2694,2249,2249,2248,2248,2650,2720,3500,4500,4500,3948,3488,3399,2988,2712
2245,2090,2244,2090,2244,2244,2599,3755,4635,4754,3330,2750,2219,2219,2690,3200,3490,5150,5200,4600,4600,4100,3330,2245
2599,2090,2245,1400,1850,888,1999.3,3000,3700,4072,4600,3447,3447,3400,3330,3448,3295,5200,5200,5200,4550,4100,3289,2245
900,2000,2000,1260,1305,500,688,1450,2988,2854,3099,2245,2090,2245,2780,2245,2500,4300,4500,4494,3720,3440,2415,1000
200,388,589,497,500,500,2230,2600,3700,4500,4283.28,3330,2950,2780,2800,3262,3100,4800,5000,4700,4600,4244,3330,998
2599,2599,2599,2599,2599,2599,2795,3320,4284,3695,3500,3300,2800,2800,2800,3045,3500,4600,4964.63,4500,4023,3886,3500,2599
2699,2709,2699,2699,2699,2699,2924.26,3530,4193,3320,2710,2599,2775,2790,2549,3250,3700,5200,5800,5179.99,5031,4500,3480,2825.01
2712,2712,2712,2709,2712,2712,3000,4000,5100,5401,5100,5526.73,5100,5524.89,4500,4500,4500,6100,6100,6100,5200,4894,4000,3000
2940.74,2809,2809,2795,2800,2809,3000,3943,4409.15,5100,4800,5100,4300,4077,3733,3500,3690,5189,5200,4521,3800,3800,3440,2940.31
2885,2812,2775,2550,2525,2525,2812,2748,3400,4200,4200,4800,4200,4077,3555,3145,3500,4468,4700,4200,3733,3555,3260,2925.94
2775,2540,2540,2525,2525,2280,2525,2700,2900,3120,3120,2945,2915,2690,2514,2450,2900,3555,3740,3720,3311,3400,2590,2902.98
2680,2680,2680,2680,2465,2680,2795,3249,3700,3900,3300,3144,2940,3080,2985,2748,3280,4468,4500,4200,3311,3495,2748,2799
2710,2710,2680,2465,2680,2710,2902.79,3555,4200,5300,5250,4299,3555,3492,3492,3185,3500,5300,5491,4900,4459,4184,3000,2939.51
2710,2710,2680,2680,2680,2710,2800,3490,3700,4000,3720,3311,3199,3100,3195,3000,3000,4075,4352,3900,3470,3390,2680,2680
2485,1688,2032,1000,1688,1824,2675,3299,3650,4000,3620,3190,2860,2730,2999,2675,3190,4190,4577,4200,3468,3388,2747,2850
2700,2700,2700,2675,2675,2700,2924.11,3490,4200,4200,3620,2650,2485,2440,2514,2700,2880,4500,4850,4507,3900,3400,2675,2830
2840,2840,2840,2680,2680,2675,2675,3000,3194,2690,2675,2484,2484,2435,2435,2500,2747,3879,4293,4288,3500,3190,2485,2700
2925,2680,2930,2840,2680,2669,2580,2662,2980,2800,2747,2662,2662,2473,2473,2662,2747,3740,4250,4036.22,3998,3333,2600,2662
2675,2600,2675,2675,2675,2700,2840,3200,3499,3191,2979,2480,2250,2250,2470,2747,3134,5200,5400,5400,4900,3705,2694,2938.43
2700,2700,2840,2675,2675,2700,2840,3200,3688,3800,3319,2710,2600,2484,2710,2947,3287,5100,5700,5100,4416,3900,2900,2941.74
2675,2675,2675,2675,2675,2675,2700,3200,3600,3690,2947,2468,2315,2315,2468,2693,3100,4033.87,4299,4310,3800,3490,2690,2830
2200,2480,2515,2400,2480,2480,2675,3100,3600,3400,2800,2399,1729,1729,2460,2780,2800,3900,3907,3700,3350,3350,2600,2500
2150,2300,2398,2150,2150,2300,2550,3090,3600,3600,3000,1450,850,950,1548,2230,2647,4077,4300,3900,3400,3598,2150,2300
2280,2150,2400,2280,2280,2150,1688,2890,3200,3390,2715,2480,1499,1499,1499,2280,2800,4600,7197.76,4600,3400,3600,2500,2300
2280,2280,2530,2280,2280,2280,500,2430,2647,2647,2210,2145,1450,1600,1699,2144,2715,3900,6500,3700,3392,3600,2499,2280
2400,2400,2680,2650,2650,2650,2680,3400,3900,3590,2714,2279,1750,1750,2153,2639,3000,4300,5900,4300,3843,3790,2980,2500
2550,2400,2680,2650,2650,2650,2650,3100,3200,3100,2610,2150,1850,1850,1990,2639,2990,5200,7490.43,4751,4300,3998,2647,2650
2400,2275,2600,2550,2400,2600,2600,2730,2620,2420,2340,1990,999,900,2000,2150,2883,4600,5450,5470,4124,3894,2500,2500
2100,1900,2273,2150,2150,2273,2275,2690,2600,2149,900,179,179,180,300,1900,2790,5600,6100,5600,5600,4800,2350,2150
900,200,200,200,200,670,1500,1990,2310,1850,880,98,98,98,96,440,2000,3100,3600,3100,2350,2480,1748,800
